Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm)
1/01/2012,0:00,210,1.3,18.4,0.4,,,,
1/01/2012,1:00,191,0.4,67,0.4,0.012,0,0.001,0.001
1/01/2012,2:00,171,1.6,12.1,0.6,0.014,0,0,0
1/01/2012,3:00,154,1.1,18.9,0.5,0.013,0,0.001,0.001
1/01/2012,4:00,163,1.5,14.8,0.3,0.014,0,0,0
1/01/2012,5:00,167,1.9,12,0.5,0.014,0,0,0
1/01/2012,6:00,160,3.8,9.5,1.2,0.015,0,0,0
1/01/2012,7:00,163,4.2,14.7,1.3,0.017,0,0,0
1/01/2012,8:00,146,4.7,15.2,1.3,0.018,0,0,0
1/01/2012,9:00,129,3.5,19.4,1.3,0.019,0,0,0
1/01/2012,10:00,132,2.9,26.9,1.1,0.019,0,0,0
1/01/2012,11:00,140,2.9,27.5,1.3,0.019,0,0,0
1/01/2012,12:00,114,3.6,21.3,1.2,0.019,0,0.001,0.001
1/01/2012,13:00,132,4.1,18,1.2,0.019,0,0,0
1/01/2012,14:00,107,2.9,31.5,1.4,0.019,0,0,0
1/01/2012,15:00,93,2.8,30,1,0.019,0,0.001,0.001
1/01/2012,16:00,88,3.8,22.7,1.1,0.022,0,0.001,0.001
1/01/2012,17:00,77,3.9,14.2,1,0.021,0,0.001,0.001
1/01/2012,18:00,62,2.4,11.8,0.7,0.018,0,0.002,0.002
1/01/2012,19:00,55,2,12.2,0.5,0.017,0,0.002,0.002
1/01/2012,20:00,61,1.7,14.5,0.7,0.015,0,0.002,0.002
1/01/2012,21:00,31,0.2,130.8,0.3,0.015,0,0.002,0.002
1/01/2012,22:00,167,0.9,60,0.6,0.013,0,0.002,0.002
1/01/2012,23:00,184,1.5,14,0.3,0.014,0,0.001,0.001
2/01/2012,0:00,165,1.9,15.8,0.4,,,,
2/01/2012,1:00,192,2.3,11.2,0.5,0.012,0,0.001,0.001
2/01/2012,2:00,182,1.9,15.2,0.5,0.012,0,0,0
2/01/2012,3:00,181,2.1,14.3,0.6,0.01,0,0.001,0.001
2/01/2012,4:00,188,2.2,14.4,0.7,0.011,0,0,0
2/01/2012,5:00,198,1.7,25.7,0.8,0.011,0,0,0
2/01/2012,6:00,161,2.3,14.9,0.9,0.013,0,0.001,0.001
2/01/2012,7:00,156,3.2,11.5,0.7,0.014,0,0,0
2/01/2012,8:00,118,3.7,20.4,1.1,0.019,0,0,0
2/01/2012,9:00,115,3.1,25.8,1.1,0.02,0,0,0
2/01/2012,10:00,123,2.5,33.2,1.1,0.02,0,0,0
2/01/2012,11:00,108,2.1,43.4,1.2,0.02,0,0,0
2/01/2012,12:00,123,2.3,38.4,1.2,0.021,0,0,0
2/01/2012,13:00,95,2.2,42.8,1.2,0.023,0,0,0
2/01/2012,14:00,64,2.9,32.2,1.3,0.027,0,0.001,0.001
2/01/2012,15:00,70,3.7,19.4,1.4,0.029,0,0.001,0.001
2/01/2012,16:00,72,4.4,13.7,1.2,0.027,0,0.001,0.001
2/01/2012,17:00,63,3.8,14.5,1.1,0.023,0,0.001,0.001
2/01/2012,18:00,59,3.8,12.8,1,0.019,0,0.001,0.001
2/01/2012,19:00,52,2.5,11.7,0.6,0.016,0,0.001,0.001
2/01/2012,20:00,62,1.8,13.7,0.5,0.014,0.001,0.003,0.003
2/01/2012,21:00,96,1.1,25.1,0.4,0.009,0.002,0.007,0.009
2/01/2012,22:00,131,1,26.2,0.3,0.006,0.004,0.01,0.014
2/01/2012,23:00,171,1.5,6.5,0.3,0.014,0,0.002,0.002
3/01/2012,0:00,169,1.7,6.9,0.3,,,,
3/01/2012,1:00,174,2.1,9.6,0.4,0.01,0,0.003,0.003
3/01/2012,2:00,165,2,6.5,0.2,0.009,0,0.002,0.002
3/01/2012,3:00,174,2.1,10.8,0.5,0.012,0,0.001,0.001
3/01/2012,4:00,170,2.3,14.3,0.4,0.009,0.001,0.003,0.004
3/01/2012,5:00,190,1.9,12.4,0.6,0.012,0,0.001,0.001
3/01/2012,6:00,164,2.2,13.7,0.6,0.009,0.002,0.003,0.005
3/01/2012,7:00,152,3,9.6,0.8,0.013,0.001,0.002,0.002
3/01/2012,8:00,137,2.8,20.4,1,0.016,0.001,0,0.001
3/01/2012,9:00,103,2,48.4,1,0.017,0,0.001,0.001
3/01/2012,10:00,33,1.8,44.7,0.9,0.018,0,0,0
3/01/2012,11:00,101,1.5,50.6,0.9,0.02,0,0.001,0.001
3/01/2012,12:00,50,1.5,49.3,0.9,0.024,0,0.001,0.001
3/01/2012,13:00,33,1.5,47.6,1,0.028,0,0.001,0.001
3/01/2012,14:00,40,2,36.4,1.1,0.03,0,0.001,0.001
3/01/2012,15:00,38,2.9,18,0.9,0.031,0,0.002,0.002
3/01/2012,16:00,44,4,16.5,1.1,0.033,0,0.003,0.003
3/01/2012,17:00,54,3.8,14.5,1.1,0.028,0,0.002,0.002
3/01/2012,18:00,62,3.5,13.2,1,0.022,0,0.002,0.002
3/01/2012,19:00,65,2.6,12.1,0.8,0.018,0.001,0.002,0.003
3/01/2012,20:00,69,2,11.9,0.5,0.015,0.001,0.003,0.004
3/01/2012,21:00,75,1.6,10.5,0.4,0.013,0.002,0.005,0.007
3/01/2012,22:00,99,0.7,46.7,0.4,0.01,0.002,0.009,0.011
3/01/2012,23:00,157,1.3,10.3,0.3,0.011,0,0.005,0.005
4/01/2012,0:00,148,1.3,9.7,0.2,,,,
4/01/2012,1:00,189,1.3,17.1,0.3,0.011,0,0.003,0.003
4/01/2012,2:00,185,1.5,10.2,0.3,0.013,0,0.002,0.002
4/01/2012,3:00,176,2,9.8,0.4,0.012,0,0.002,0.002
4/01/2012,4:00,179,1.9,11,0.4,0.014,0,0.001,0.001
4/01/2012,5:00,185,1.6,13.4,0.4,0.014,0,0.001,0.001
4/01/2012,6:00,166,1.3,21.4,0.4,0.015,0,0.002,0.002
4/01/2012,7:00,115,1.1,46,0.6,0.018,0.001,0.001,0.002
4/01/2012,8:00,33,0.8,79.2,0.7,0.021,0,0,0
4/01/2012,9:00,117,0.5,108.1,0.8,0.022,0,0.001,0.001
4/01/2012,10:00,354,0.8,148.3,0.8,0.022,0,0.001,0.001
4/01/2012,11:00,97,0.6,88.7,0.9,0.023,0,0,0
4/01/2012,12:00,316,1,73.4,0.9,0.024,0.001,0.001,0.002
4/01/2012,13:00,151,0.5,87.9,0.7,0.023,0,0,0
4/01/2012,14:00,38,0.8,158,1,0.027,0,0,0
4/01/2012,15:00,9,1.4,173.8,0.9,0.039,0,0.001,0.001
4/01/2012,16:00,39,4.1,17,1.4,0.057,0,0.003,0.003
4/01/2012,17:00,44,4.4,13.3,1.2,0.045,0,0.004,0.004
4/01/2012,18:00,52,3.7,12.8,1.1,0.029,0,0.006,0.006
4/01/2012,19:00,63,3.4,14.4,0.9,0.021,0,0.005,0.005
4/01/2012,20:00,71,2.7,15.6,0.8,0.018,0.001,0.004,0.005
4/01/2012,21:00,96,2,13.2,0.5,0.016,0.001,0.004,0.005
4/01/2012,22:00,94,1.7,12.5,0.4,0.015,0.001,0.005,0.006
4/01/2012,23:00,120,1.5,24.6,0.4,0.013,0.002,0.006,0.008
5/01/2012,0:00,137,1.5,12.2,0.4,,,,
5/01/2012,1:00,162,1.7,9.6,0.3,0.011,0,0.005,0.005
5/01/2012,2:00,167,1.7,8.8,0.4,0.012,0,0.002,0.002
5/01/2012,3:00,154,2,7.5,0.3,0.006,0.001,0.007,0.008
5/01/2012,4:00,164,2,7.6,0.2,0.009,0,0.003,0.003
5/01/2012,5:00,179,2,10.3,0.6,0.01,0,0.002,0.002
5/01/2012,6:00,163,1.5,16.7,0.5,0.01,0.001,0.003,0.003
5/01/2012,7:00,180,1.3,33.8,0.6,0.011,0.002,0.003,0.005
5/01/2012,8:00,151,1.4,22.8,0.6,0.015,0.001,0.002,0.003
5/01/2012,9:00,116,1.3,30.4,0.6,0.016,0.001,0.002,0.003
5/01/2012,10:00,162,1.2,63.5,1,0.021,0,0.001,0.001
5/01/2012,11:00,108,1.1,67.5,1,0.025,0,0.001,0.001
5/01/2012,12:00,67,2.4,34.8,1.2,0.026,0,0.002,0.002
5/01/2012,13:00,60,2.2,24.7,0.8,0.027,0,0.002,0.002
5/01/2012,14:00,53,2.6,26.3,0.9,0.03,0,0.002,0.002
5/01/2012,15:00,36,3.8,17.7,1.1,0.032,0,0.004,0.004
5/01/2012,16:00,37,4.2,14.4,1.1,0.026,0.001,0.004,0.004
5/01/2012,17:00,55,3.9,15.1,1.1,0.024,0,0.002,0.002
5/01/2012,18:00,56,2.8,14.9,1.1,0.02,0,0.003,0.003
5/01/2012,19:00,69,2.8,12.9,0.8,0.017,0.001,0.003,0.004
5/01/2012,20:00,80,1.7,12.5,0.5,0.014,0.001,0.004,0.005
5/01/2012,21:00,91,1.6,16.4,0.4,0.012,0.002,0.004,0.006
5/01/2012,22:00,95,1.7,11.7,0.5,0.009,0.004,0.006,0.009
5/01/2012,23:00,102,0.5,102.9,0.6,0.011,0.001,0.003,0.004
6/01/2012,0:00,248,0.6,52.1,0.5,,,,
6/01/2012,1:00,174,0.5,61.9,0.3,0.009,0.004,0.005,0.009
6/01/2012,2:00,152,0.9,28.2,0.6,0.005,0.008,0.009,0.016
6/01/2012,3:00,163,0.5,80.5,0.4,0.009,0,0.003,0.003
6/01/2012,4:00,221,0.3,65.2,0.2,0.01,0.001,0.002,0.003
6/01/2012,5:00,137,0.8,29.5,0.2,0.002,0.027,0.01,0.037
6/01/2012,6:00,238,0.5,65.9,0.4,0.006,0.005,0.004,0.009
6/01/2012,7:00,306,0.9,51.1,0.7,0.014,0.001,0.002,0.003
6/01/2012,8:00,284,1.5,30.7,0.7,0.022,0.001,0.001,0.001
6/01/2012,9:00,318,0.7,94,0.9,0.025,0,0.001,0.001
6/01/2012,10:00,302,0.9,74.7,0.8,0.028,0,0.001,0.001
6/01/2012,11:00,5,1.2,51.4,0.7,0.03,0,0,0
6/01/2012,12:00,38,1.1,61.8,0.8,0.032,0,0.001,0.001
6/01/2012,13:00,75,1.2,66.8,0.9,0.032,0,0.001,0.001
6/01/2012,14:00,111,2.3,34.2,1.2,0.032,0,0.002,0.002
6/01/2012,15:00,133,2.9,61.7,2.2,0.026,0.001,0.002,0.003
6/01/2012,16:00,271,1,36.8,0.5,0.026,0,0.001,0.001
6/01/2012,17:00,43,3.1,17.6,1.3,0.04,0,0.006,0.006
6/01/2012,18:00,42,2.7,11.2,0.9,0.027,0,0.006,0.006
6/01/2012,19:00,90,2.3,17.3,0.8,0.022,0,0.004,0.004
6/01/2012,20:00,203,0.7,57,0.5,0.02,0,0.003,0.003
6/01/2012,21:00,218,1.5,19.1,0.3,0.02,0,0.002,0.002
6/01/2012,22:00,188,1.3,16.6,0.4,0.021,0,0.003,0.003
6/01/2012,23:00,184,1.6,11.2,0.4,0.019,0,0.004,0.004
7/01/2012,0:00,173,1.5,15.3,0.3,,,,
7/01/2012,1:00,182,1.7,16.2,0.4,0.014,0,0.005,0.005
7/01/2012,2:00,157,2.7,8.1,0.5,0.014,0,0.004,0.004
7/01/2012,3:00,155,2.3,8,0.6,0.014,0,0.002,0.002
7/01/2012,4:00,161,2.5,8.7,0.5,0.013,0,0.003,0.003
7/01/2012,5:00,157,2.6,9.6,0.7,0.014,0,0.003,0.003
7/01/2012,6:00,164,2,11.8,0.5,0.015,0,0.002,0.002
7/01/2012,7:00,168,1.7,20,0.5,0.018,0,0.001,0.001
7/01/2012,8:00,159,1.2,35.4,0.6,0.02,0,0.001,0.001
7/01/2012,9:00,163,0.8,60.7,0.5,0.021,0,0.001,0.001
7/01/2012,10:00,126,0.8,50.1,0.5,0.022,0.001,0.001,0.001
7/01/2012,11:00,81,0.5,85.7,0.7,0.024,0,0,0
7/01/2012,12:00,339,1.3,46.7,0.7,0.026,0,0,0
7/01/2012,13:00,14,1.1,184.7,0.7,0.03,0,0.001,0.001
7/01/2012,14:00,51,2.1,42.2,1.3,0.038,0,0.003,0.003
7/01/2012,15:00,29,4.1,13.8,1.3,0.036,0,0.004,0.004
7/01/2012,16:00,37,3.4,17.6,1,0.035,0,0.002,0.002
7/01/2012,17:00,46,3.6,16.5,1,0.031,0,0.003,0.003
7/01/2012,18:00,47,2.8,12.8,0.8,0.022,0,0.006,0.006
7/01/2012,19:00,45,2.8,12.1,0.7,0.02,0,0.004,0.004
7/01/2012,20:00,46,2.4,10.8,0.6,0.017,0,0.005,0.005
7/01/2012,21:00,72,1.7,12.5,0.5,0.018,0,0.003,0.003
7/01/2012,22:00,100,1.5,12.2,0.3,0.016,0.001,0.003,0.004
7/01/2012,23:00,140,1.8,11.3,0.3,0.014,0,0.004,0.004
8/01/2012,0:00,155,1.3,17.9,0.3,,,,
8/01/2012,1:00,167,0.7,18.6,0.3,0.015,0,0.002,0.002
8/01/2012,2:00,167,0.8,21.6,0.4,0.013,0,0.003,0.003
8/01/2012,3:00,186,0.9,23.1,0.3,0.012,0,0.003,0.003
8/01/2012,4:00,220,1.1,9.6,0.2,0.011,0.001,0.002,0.003
8/01/2012,5:00,237,0.9,9.4,0.2,0.012,0,0.002,0.002
8/01/2012,6:00,229,0.5,31.9,0.2,0.013,0,0.001,0.001
8/01/2012,7:00,127,0.6,41.5,0.4,0.014,0,0.002,0.002
8/01/2012,8:00,311,0.6,62.2,0.5,0.018,0,0.001,0.001
8/01/2012,9:00,320,1.6,40.8,0.8,0.024,0,0,0
8/01/2012,10:00,296,1.9,42.9,1,0.028,0,0,0
8/01/2012,11:00,326,1.6,56,1.2,0.029,0,0,0
8/01/2012,12:00,309,1.7,57.1,1.1,0.029,0,0,0
8/01/2012,13:00,333,2.2,40.2,1.2,0.029,0,0,0
8/01/2012,14:00,303,2.3,35.6,1.1,0.03,0,0,0
8/01/2012,15:00,289,1.4,50.3,0.8,0.03,0,0,0
8/01/2012,16:00,45,2.9,27.4,1.4,0.037,0,0.002,0.002
8/01/2012,17:00,46,4.2,13.7,1.1,0.034,0,0.005,0.005
8/01/2012,18:00,45,3.8,12.5,1,0.022,0.001,0.009,0.009
8/01/2012,19:00,48,2.8,13.7,0.9,0.017,0,0.005,0.005
8/01/2012,20:00,56,2.3,12.7,0.6,0.01,0.001,0.009,0.01
8/01/2012,21:00,118,1.2,26.3,0.4,0.008,0.001,0.009,0.01
8/01/2012,22:00,170,1.2,14,0.4,0.014,0,0.004,0.004
8/01/2012,23:00,168,1.1,29.7,0.2,0.012,0.001,0.005,0.005
9/01/2012,0:00,191,1,40.1,0.4,,,,
9/01/2012,1:00,209,0.5,35.2,0.3,0.01,0,0.004,0.004
9/01/2012,2:00,163,0.6,56.7,0.5,0.009,0.001,0.004,0.004
9/01/2012,3:00,196,1.3,25.3,0.5,0.008,0.001,0.004,0.005
9/01/2012,4:00,184,0.9,43.8,0.3,0.008,0,0.004,0.004
9/01/2012,5:00,183,1.1,39.5,0.4,0.006,0.002,0.005,0.007
9/01/2012,6:00,111,0.4,58.5,0.3,0.006,0.004,0.006,0.01
9/01/2012,7:00,347,1.1,40.6,0.6,0.014,0.001,0.002,0.003
9/01/2012,8:00,324,2.1,25.7,0.7,0.026,0.001,0.003,0.003
9/01/2012,9:00,316,4.1,15.6,1.3,0.036,0,0.001,0.001
9/01/2012,10:00,303,4.8,16.3,1.2,0.042,0,0.001,0.001
9/01/2012,11:00,302,3.6,24.2,1.5,0.048,0,0.001,0.001
9/01/2012,12:00,286,3.1,31.5,1.3,0.048,0,0,0
9/01/2012,13:00,291,3.5,27.2,1.6,0.044,0,0,0
9/01/2012,14:00,262,3.5,26.7,1.4,0.044,0,0,0
9/01/2012,15:00,258,4.2,16.9,1.4,0.043,0,0,0
9/01/2012,16:00,258,3.4,18,1.3,0.046,0,0,0
9/01/2012,17:00,261,3.1,14.5,1.1,0.043,0,0,0
9/01/2012,18:00,282,1.8,24.1,0.7,0.04,0,0,0
9/01/2012,19:00,53,1.2,33,0.6,0.027,0,0.012,0.012
9/01/2012,20:00,74,0.7,73.6,0.7,0.024,0,0.012,0.012
9/01/2012,21:00,128,2.2,37.2,1.4,0.019,0.001,0.012,0.012
9/01/2012,22:00,153,2.9,7.9,0.5,0.017,0.001,0.009,0.009
9/01/2012,23:00,165,2.5,14.7,0.6,0.029,0,0.005,0.005
10/01/2012,0:00,158,3.1,10.8,0.6,,,,
10/01/2012,1:00,154,4.2,6.4,0.9,0.035,0,0.001,0.001
10/01/2012,2:00,162,2.1,17.4,0.7,0.033,0,0.001,0.001
10/01/2012,3:00,205,1.6,26,0.5,0.032,0,0.001,0.001
10/01/2012,4:00,166,2.4,11.9,0.5,0.03,0,0.002,0.002
10/01/2012,5:00,169,1.3,21.4,0.5,0.022,0.002,0.009,0.011
10/01/2012,6:00,174,1.7,24.4,1,0.031,0,0.002,0.002
10/01/2012,7:00,157,3.2,16.8,0.9,0.037,0,0.001,0.001
10/01/2012,8:00,159,3,21.8,0.9,0.037,0,0.001,0.001
10/01/2012,9:00,147,2.7,25.3,1,0.035,0,0.001,0.001
10/01/2012,10:00,145,1.9,54.3,1.3,0.035,0,0,0
10/01/2012,11:00,116,1,82.9,1.1,0.034,0,0.001,0.001
10/01/2012,12:00,309,1.3,72.6,1.1,0.034,0,0,0
10/01/2012,13:00,322,0.9,84.8,0.9,0.033,0,0,0
10/01/2012,14:00,7,1.5,171.6,1.2,0.034,0,0,0
10/01/2012,15:00,24,2.8,150.3,1.8,0.046,0,0.002,0.002
10/01/2012,16:00,42,5.2,13.4,1.4,0.05,0,0.004,0.004
10/01/2012,17:00,42,4.7,12.8,1.3,0.041,0,0.004,0.004
10/01/2012,18:00,57,3.6,15.4,1.2,0.03,0,0.005,0.005
10/01/2012,19:00,58,2.6,16.4,0.9,0.025,0,0.004,0.004
10/01/2012,20:00,93,2,14,0.5,0.021,0,0.006,0.006
10/01/2012,21:00,111,1.5,26.7,0.4,0.017,0.001,0.007,0.008
10/01/2012,22:00,152,1.3,14.3,0.2,0.014,0.001,0.007,0.008
10/01/2012,23:00,176,1.2,15.5,0.4,0.02,0,0.002,0.002
11/01/2012,0:00,173,1.3,11.8,0.3,,,,
11/01/2012,1:00,182,1.1,16,0.4,0.017,0,0.003,0.003
11/01/2012,2:00,193,1.2,16.1,0.4,0.016,0,0.003,0.003
11/01/2012,3:00,188,1,33.6,0.5,0.016,0,0.002,0.002
11/01/2012,4:00,244,0.6,53.2,0.4,0.015,0,0.002,0.002
11/01/2012,5:00,235,0.3,62.2,0.3,0.012,0,0.002,0.002
11/01/2012,6:00,78,0.3,88.1,0.4,0.01,0.003,0.004,0.006
11/01/2012,7:00,327,1.4,35.4,0.6,0.021,0.001,0.003,0.003
11/01/2012,8:00,284,1.9,26.7,0.8,0.029,0,0.001,0.001
11/01/2012,9:00,283,1.3,61,0.9,0.034,0,0.001,0.001
11/01/2012,10:00,247,1.9,38.8,1.1,0.033,0,0,0
11/01/2012,11:00,234,2.5,29.9,1.3,0.031,0,0,0
11/01/2012,12:00,270,1.7,53,1.1,0.03,0,0,0
11/01/2012,13:00,269,4.1,22.2,1.6,0.03,0,0,0
11/01/2012,14:00,259,4.7,19.6,1.9,0.031,0,0,0
11/01/2012,15:00,248,4.4,17.7,1.5,0.032,0,0,0
11/01/2012,16:00,269,4.7,15.6,1.6,0.036,0,0,0
11/01/2012,17:00,266,4.4,14.2,1.6,0.032,0,0,0
11/01/2012,18:00,268,2.5,15.3,0.8,0.027,0,0,0
11/01/2012,19:00,253,2,15.4,0.5,0.025,0,0,0
11/01/2012,20:00,221,4.2,11.6,0.8,0.023,0,0,0
11/01/2012,21:00,219,5.1,9,1,0.024,0,0,0
11/01/2012,22:00,232,3.8,9.5,1.1,0.023,0,0,0
11/01/2012,23:00,239,1.9,17.7,0.7,0.022,0,0,0
12/01/2012,0:00,272,0.9,55.7,0.7,,,,
12/01/2012,1:00,310,0.5,129.7,0.5,0.018,0,0.004,0.004
12/01/2012,2:00,224,1.9,17.7,0.5,0.021,0,0,0
12/01/2012,3:00,162,1.1,61.9,0.5,0.017,0.001,0.003,0.004
12/01/2012,4:00,176,2.5,11.8,0.6,0.017,0,0.004,0.004
12/01/2012,5:00,173,2.9,12.3,0.7,0.018,0,0.002,0.002
12/01/2012,6:00,167,3.8,14.8,1,0.019,0.001,0.002,0.002
12/01/2012,7:00,143,4.8,11.7,1.2,0.021,0.001,0.001,0.002
12/01/2012,8:00,151,3.3,16.4,1,0.023,0.001,0.001,0.001
12/01/2012,9:00,157,2.5,32.4,1.3,0.024,0.001,0.001,0.001
12/01/2012,10:00,203,1.1,85.1,1.1,0.026,0,0,0
12/01/2012,11:00,38,1.2,55.6,1,0.027,0,0.001,0.001
12/01/2012,12:00,315,0.7,129.9,0.9,0.034,0,0.001,0.001
12/01/2012,13:00,30,3.8,37.1,1.9,0.047,0.001,0.003,0.004
12/01/2012,14:00,51,5.4,17.1,1.6,0.042,0,0.003,0.003
12/01/2012,15:00,59,5.2,15.1,1.6,0.035,0,0.002,0.002
12/01/2012,16:00,52,4.8,14,1.4,0.032,0,0.003,0.003
12/01/2012,17:00,67,4.3,16.1,1.2,0.026,0,0.002,0.002
12/01/2012,18:00,68,3.2,14.9,0.9,0.022,0.001,0.003,0.003
12/01/2012,19:00,77,3.2,11.9,0.9,0.021,0.001,0.003,0.004
12/01/2012,20:00,99,1.7,26,0.5,0.016,0.001,0.006,0.007
12/01/2012,21:00,99,2.5,12.1,0.6,0.018,0.001,0.003,0.004
12/01/2012,22:00,103,1.8,18,0.8,0.016,0.001,0.004,0.005
12/01/2012,23:00,148,1.5,5.5,0.3,0.013,0.001,0.006,0.006
13/01/2012,0:00,156,1.6,6.7,0.3,,,,
13/01/2012,1:00,159,1.4,10.1,0.3,0.012,0,0.005,0.005
13/01/2012,2:00,170,1.6,10.5,0.4,0.013,0,0.002,0.002
13/01/2012,3:00,156,1.8,6,0.3,0.009,0.001,0.006,0.006
13/01/2012,4:00,172,1.7,11.3,0.4,0.009,0,0.005,0.005
13/01/2012,5:00,170,1.8,10.3,0.4,0.011,0,0.003,0.003
13/01/2012,6:00,160,2.4,9.6,0.5,0.013,0.001,0.003,0.004
13/01/2012,7:00,128,2.3,32.6,0.8,0.016,0.001,0.001,0.002
13/01/2012,8:00,89,1.9,35,0.8,0.018,0.001,0.001,0.002
13/01/2012,9:00,46,1.8,32.2,0.8,0.019,0,0.001,0.001
13/01/2012,10:00,63,1.8,42.5,0.9,0.024,0,0.002,0.002
13/01/2012,11:00,29,2.3,31.3,1.1,0.03,0.001,0.003,0.004
13/01/2012,12:00,39,2.6,30.5,1.1,0.035,0,0.003,0.003
13/01/2012,13:00,43,3.7,16.6,1,0.031,0.001,0.005,0.006
13/01/2012,14:00,19,3.8,16.1,1,0.034,0.001,0.003,0.004
13/01/2012,15:00,42,3.5,21.7,1.3,0.034,0.001,0.003,0.004
13/01/2012,16:00,65,4.6,16.2,1.4,0.026,0.001,0.003,0.004
13/01/2012,17:00,56,4.6,18.4,1.4,0.022,0.001,0.003,0.003
13/01/2012,18:00,55,4,13.4,1.2,0.017,0.001,0.003,0.004
13/01/2012,19:00,58,3,14.8,0.9,0.014,0.001,0.004,0.004
13/01/2012,20:00,71,2.3,13.2,0.5,0.014,0.001,0.002,0.003
13/01/2012,21:00,91,1.8,10.5,0.4,0.012,0.001,0.004,0.005
13/01/2012,22:00,104,1.4,11.5,0.4,0.01,0.002,0.006,0.008
13/01/2012,23:00,100,1.2,9.7,0.2,0.01,0.002,0.005,0.007
14/01/2012,0:00,183,0.9,34.2,0.3,,,,
14/01/2012,1:00,190,1.5,25.6,0.3,0.011,0,0.003,0.003
14/01/2012,2:00,183,1.6,14.4,0.3,0.01,0,0.005,0.005
14/01/2012,3:00,181,1.8,13.9,0.4,0.01,0,0.005,0.005
14/01/2012,4:00,202,1.5,15.9,0.3,0.009,0,0.005,0.005
14/01/2012,5:00,188,1.5,20.3,0.3,0.009,0,0.003,0.003
14/01/2012,6:00,158,1.2,30,0.4,0.013,0,0.003,0.003
14/01/2012,7:00,100,0.8,62.6,0.6,0.016,0,0.002,0.002
14/01/2012,8:00,346,1.4,44.7,0.8,0.02,0,0.001,0.001
14/01/2012,9:00,10,1.7,168.1,0.8,0.022,0.001,0.003,0.003
14/01/2012,10:00,317,0.6,152.8,0.8,0.028,0,0.001,0.001
14/01/2012,11:00,29,1,59.8,0.9,0.031,0,0.002,0.002
14/01/2012,12:00,28,2.6,29.5,0.8,0.028,0.001,0.004,0.005
14/01/2012,13:00,36,2.5,24.7,0.8,0.031,0,0.004,0.004
14/01/2012,14:00,41,3.2,19.5,1,0.031,0,0.004,0.004
14/01/2012,15:00,40,4,13.3,1.1,0.026,0.001,0.004,0.005
14/01/2012,16:00,43,4.3,15,1.2,0.023,0,0.004,0.004
14/01/2012,17:00,55,3.5,13.1,1,0.02,0,0.002,0.002
14/01/2012,18:00,53,2.7,13.6,0.9,0.019,0,0.002,0.002
14/01/2012,19:00,79,2.5,15.3,0.8,0.016,0,0.002,0.002
14/01/2012,20:00,103,1.8,11.4,0.4,0.013,0.001,0.003,0.004
14/01/2012,21:00,102,1.7,9.3,0.3,0.012,0.001,0.003,0.004
14/01/2012,22:00,167,1.9,18.6,0.5,0.01,0.001,0.003,0.004
14/01/2012,23:00,189,1.8,12.6,0.5,0.013,0,0.001,0.001
15/01/2012,0:00,170,2.2,15.2,0.6,,,,
15/01/2012,1:00,187,2,18.9,0.6,0.011,0,0.002,0.002
15/01/2012,2:00,169,2.5,11.7,0.6,0.009,0,0.002,0.002
15/01/2012,3:00,177,2.2,14.5,0.6,0.008,0,0.002,0.002
15/01/2012,4:00,184,2.3,15.5,0.8,0.009,0,0.001,0.001
15/01/2012,5:00,158,3.4,9.8,0.8,0.009,0,0.001,0.001
15/01/2012,6:00,172,2.4,21.4,1,0.01,0,0.001,0.001
15/01/2012,7:00,162,2.8,14.5,0.7,0.01,0,0.001,0.001
15/01/2012,8:00,158,2.6,13.7,0.6,0.01,0,0.001,0.001
15/01/2012,9:00,155,3.3,11.5,0.7,0.012,0,0.001,0.001
15/01/2012,10:00,157,3.2,13.8,0.8,0.013,0,0.001,0.001
15/01/2012,11:00,125,4.2,24.7,1.1,0.015,0,0.001,0.001
15/01/2012,12:00,95,4.2,12.1,1.3,0.015,0,0.001,0.001
15/01/2012,13:00,138,2.7,15.4,0.6,0.014,0.001,0.001,0.002
15/01/2012,14:00,134,2.8,27.4,1,0.016,0,0.001,0.001
15/01/2012,15:00,75,3.5,19.7,1.1,0.015,0,0.001,0.001
15/01/2012,16:00,99,4.9,12.1,1.2,0.013,0.001,0,0.001
15/01/2012,17:00,110,3.9,13.3,1,0.011,0.001,0.001,0.002
15/01/2012,18:00,128,2.8,19.6,1,0.01,0.001,0.001,0.002
15/01/2012,19:00,168,2.3,10.7,0.5,0.007,0,0.002,0.002
15/01/2012,20:00,145,3.7,11.5,1.1,0.007,0.001,0.003,0.004
15/01/2012,21:00,159,2.7,12,0.6,0.007,0.001,0.002,0.003
15/01/2012,22:00,174,2.6,15.2,0.7,0.007,0,0.002,0.002
15/01/2012,23:00,160,3,11,0.6,0.007,0,0.001,0.001
16/01/2012,0:00,166,2.9,9.3,0.7,,,,
16/01/2012,1:00,166,3.8,8.8,0.8,0.007,0,0.001,0.001
16/01/2012,2:00,155,4.2,13.6,1,0.008,0,0.001,0.001
16/01/2012,3:00,145,3.5,13.4,0.7,0.009,0,0.001,0.001
16/01/2012,4:00,167,3.1,9.6,0.7,0.007,0,0.002,0.002
