Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),PM10 (ug/m^3)
01/01/2010,00:00,74,6.1,7.3,0.9,16.0
01/01/2010,01:00,70,5.8,7.4,0.9,17.0
01/01/2010,02:00,72,5.9,9.8,1.1,21.2
01/01/2010,03:00,72,5.9,7.0,0.9,17.8
01/01/2010,04:00,71,5.8,8.9,0.8,16.8
01/01/2010,05:00,60,5.2,9.2,0.8,23.1
01/01/2010,06:00,50,5.3,7.6,0.8,19.4
01/01/2010,07:00,42,5.0,6.8,0.7,19.5
01/01/2010,08:00,36,5.0,9.1,0.7,18.4
01/01/2010,09:00,32,4.7,7.5,0.7,16.2
01/01/2010,10:00,25,4.6,7.7,0.6,17.5
01/01/2010,11:00,36,3.6,9.3,0.5,14.9
01/01/2010,12:00,43,3.5,10.1,0.5,16.1
01/01/2010,13:00,50,3.6,12.0,0.6,16.0
01/01/2010,14:00,45,4.0,9.0,0.6,13.7
01/01/2010,15:00,40,4.4,9.2,0.6,13.4
01/01/2010,16:00,42,4.6,9.2,0.7,9.7
01/01/2010,17:00,45,5.1,7.6,0.7,14.5
01/01/2010,18:00,49,5.1,7.9,0.8,13.0
01/01/2010,19:00,48,4.7,9.1,0.8,13.5
01/01/2010,20:00,48,4.7,8.6,0.8,14.6
01/01/2010,21:00,46,4.6,9.3,0.7,15.0
01/01/2010,22:00,59,3.3,12.6,0.7,16.8
01/01/2010,23:00,42,2.3,45.5,1.3,11.2
02/01/2010,00:00,99,3.8,24.1,1.2,4.1
02/01/2010,01:00,154,2.6,20.0,0.9,6.1
02/01/2010,02:00,104,2.1,62.3,1.6,5.7
02/01/2010,03:00,31,6.9,8.4,0.8,
02/01/2010,04:00,31,3.2,12.6,1.5,
02/01/2010,05:00,145,2.4,29.1,0.7,17.1
02/01/2010,06:00,135,2.5,21.3,0.7,13.1
02/01/2010,07:00,142,3.4,14.7,0.9,12.2
02/01/2010,08:00,113,3.4,32.0,1.0,31.7
02/01/2010,09:00,84,3.0,18.9,1.0,
02/01/2010,10:00,357,1.2,141.6,0.9,9.7
02/01/2010,11:00,298,1.0,20.2,0.5,4.4
02/01/2010,12:00,349,0.7,38.7,0.3,
02/01/2010,13:00,350,1.2,24.0,0.3,9.3
02/01/2010,14:00,37,2.3,13.5,0.8,9.3
02/01/2010,15:00,37,3.3,10.8,0.5,14.5
02/01/2010,16:00,38,3.9,13.3,0.6,18.6
02/01/2010,17:00,51,4.6,9.3,0.8,12.4
02/01/2010,18:00,62,4.6,8.6,0.7,21.1
02/01/2010,19:00,108,3.3,38.3,0.9,18.7
02/01/2010,20:00,80,2.6,38.9,1.3,12.9
02/01/2010,21:00,67,3.6,13.5,0.9,16.8
02/01/2010,22:00,62,3.8,8.7,0.6,16.5
02/01/2010,23:00,65,3.5,8.8,0.5,15.3
03/01/2010,00:00,49,3.3,11.0,0.5,12.3
03/01/2010,01:00,37,3.1,13.1,0.6,15.5
03/01/2010,02:00,30,3.1,15.5,0.8,12.1
03/01/2010,03:00,22,2.6,18.4,1.3,18.0
03/01/2010,04:00,171,1.7,50.3,0.9,14.1
03/01/2010,05:00,200,2.6,9.3,0.4,5.2
03/01/2010,06:00,196,2.6,7.9,0.5,8.6
03/01/2010,07:00,161,2.3,17.6,0.5,9.2
03/01/2010,08:00,139,2.0,21.6,0.7,12.2
03/01/2010,09:00,75,1.8,35.5,0.8,11.8
03/01/2010,10:00,45,3.2,11.3,0.6,8.7
03/01/2010,11:00,40,4.2,8.6,0.6,15.3
03/01/2010,12:00,38,4.6,7.4,0.6,10.1
03/01/2010,13:00,38,4.6,8.7,0.7,13.0
03/01/2010,14:00,39,4.8,8.2,0.7,7.4
03/01/2010,15:00,34,4.5,8.4,0.6,12.8
03/01/2010,16:00,40,4.7,7.4,0.7,12.8
03/01/2010,17:00,44,5.2,7.7,0.7,10.1
03/01/2010,18:00,48,4.2,9.3,0.7,14.6
03/01/2010,19:00,48,4.1,9.7,0.6,17.2
03/01/2010,20:00,54,3.7,10.5,0.6,13.9
03/01/2010,21:00,55,3.9,10.9,0.7,15.3
03/01/2010,22:00,60,3.9,11.7,0.7,16.4
03/01/2010,23:00,53,3.0,11.3,0.5,14.4
04/01/2010,00:00,50,3.0,19.4,1.1,18.6
04/01/2010,01:00,29,1.3,102.1,1.6,19.7
04/01/2010,02:00,335,0.8,87.5,0.9,10.4
04/01/2010,03:00,206,1.2,16.4,0.4,13.4
04/01/2010,04:00,194,1.5,19.8,0.5,7.2
04/01/2010,05:00,185,0.3,114.3,1.0,6.7
04/01/2010,06:00,65,1.5,51.4,0.8,
04/01/2010,07:00,115,1.8,38.9,0.7,13.3
04/01/2010,08:00,83,1.7,22.7,0.6,12.0
04/01/2010,09:00,65,2.1,23.6,0.8,12.2
04/01/2010,10:00,48,4.2,15.4,0.9,6.4
04/01/2010,11:00,43,5.0,7.7,0.7,9.6
04/01/2010,12:00,47,5.0,9.3,0.8,12.9
04/01/2010,13:00,42,5.4,7.0,0.7,10.4
04/01/2010,14:00,52,5.5,9.8,0.8,8.4
04/01/2010,15:00,51,5.4,9.6,0.8,15.4
04/01/2010,16:00,46,5.5,8.6,0.9,21.4
04/01/2010,17:00,53,5.1,9.7,0.9,20.7
04/01/2010,18:00,65,5.2,9.2,0.9,15.0
04/01/2010,19:00,72,5.2,9.5,0.7,12.5
04/01/2010,20:00,72,4.9,8.6,0.8,10.4
04/01/2010,21:00,68,5.4,8.0,0.8,11.7
04/01/2010,22:00,75,5.1,7.8,0.8,14.5
04/01/2010,23:00,77,4.7,9.6,0.9,13.9
05/01/2010,00:00,70,5.7,7.7,0.9,19.8
05/01/2010,01:00,77,5.1,9.1,0.7,16.0
05/01/2010,02:00,85,3.8,11.2,0.8,20.4
05/01/2010,03:00,99,3.0,27.5,1.4,26.9
05/01/2010,04:00,82,5.0,9.9,1.3,16.6
05/01/2010,05:00,128,2.4,32.9,1.0,17.8
05/01/2010,06:00,162,2.6,18.6,0.9,15.4
05/01/2010,07:00,128,3.0,35.9,1.4,16.3
05/01/2010,08:00,70,4.7,17.6,1.4,17.3
05/01/2010,09:00,112,2.4,42.0,1.2,13.5
05/01/2010,10:00,120,3.3,23.9,0.9,7.3
05/01/2010,11:00,82,4.1,15.4,0.8,11.6
05/01/2010,12:00,63,4.5,9.9,1.0,11.9
05/01/2010,13:00,51,4.7,9.6,0.8,20.2
05/01/2010,14:00,47,4.9,9.3,0.8,18.8
05/01/2010,15:00,50,4.9,11.1,0.9,18.0
05/01/2010,16:00,49,5.6,9.4,0.8,18.8
05/01/2010,17:00,64,5.8,9.4,1.0,18.7
05/01/2010,18:00,62,5.5,8.5,0.8,19.7
05/01/2010,19:00,71,4.8,9.9,0.9,26.2
05/01/2010,20:00,67,5.6,8.0,1.0,52.1
05/01/2010,21:00,76,5.7,8.4,1.0,23.8
05/01/2010,22:00,80,4.8,10.5,1.0,24.7
05/01/2010,23:00,78,4.3,9.7,0.9,16.6
06/01/2010,00:00,67,5.2,8.9,0.9,23.4
06/01/2010,01:00,75,5.2,9.6,0.9,34.9
06/01/2010,02:00,80,5.1,8.1,0.9,13.4
06/01/2010,03:00,85,4.6,15.4,1.4,10.7
06/01/2010,04:00,136,2.2,24.7,0.7,20.6
06/01/2010,05:00,140,2.4,15.5,0.6,14.7
06/01/2010,06:00,142,1.3,82.6,1.4,19.0
06/01/2010,07:00,136,3.8,11.9,0.9,17.0
06/01/2010,08:00,117,3.1,26.1,1.0,13.0
06/01/2010,09:00,77,3.2,17.8,0.7,14.4
06/01/2010,10:00,64,3.2,27.3,1.3,15.4
06/01/2010,11:00,38,4.7,9.0,0.6,8.3
06/01/2010,12:00,37,5.2,7.9,0.6,10.9
06/01/2010,13:00,38,5.2,7.5,0.6,13.5
06/01/2010,14:00,37,5.5,8.5,0.7,9.6
06/01/2010,15:00,33,5.3,8.3,0.7,13.0
06/01/2010,16:00,31,5.3,7.7,0.7,10.2
06/01/2010,17:00,40,4.9,7.9,0.6,11.7
06/01/2010,18:00,51,4.3,10.6,0.7,8.7
06/01/2010,19:00,62,4.0,10.1,0.6,13.2
06/01/2010,20:00,61,5.0,7.6,0.7,5.1
06/01/2010,21:00,66,3.9,15.5,0.9,7.0
06/01/2010,22:00,72,4.1,9.8,0.7,16.9
06/01/2010,23:00,68,4.5,9.6,0.7,24.8
07/01/2010,00:00,76,4.2,14.0,1.6,12.9
07/01/2010,01:00,86,3.2,13.2,1.2,8.5
07/01/2010,02:00,74,4.6,9.0,0.8,10.8
07/01/2010,03:00,64,4.5,7.7,0.7,12.7
07/01/2010,04:00,70,3.6,8.7,0.6,10.7
07/01/2010,05:00,69,2.7,25.7,1.1,14.3
07/01/2010,06:00,193,1.7,17.8,0.5,16.4
07/01/2010,07:00,161,1.1,37.8,0.6,19.2
07/01/2010,08:00,135,1.4,27.2,0.6,16.7
07/01/2010,09:00,45,1.8,29.3,0.6,11.6
07/01/2010,10:00,26,2.5,12.6,0.5,11.0
07/01/2010,11:00,24,3.7,6.9,0.4,12.0
07/01/2010,12:00,28,4.5,7.0,0.5,10.3
07/01/2010,13:00,36,5.0,7.3,0.6,9.8
07/01/2010,14:00,38,5.0,7.3,0.5,10.0
07/01/2010,15:00,34,5.3,7.5,0.7,9.6
07/01/2010,16:00,31,5.2,7.4,0.6,10.1
07/01/2010,17:00,32,5.1,8.8,0.6,16.9
07/01/2010,18:00,43,5.0,6.7,0.6,8.4
07/01/2010,19:00,43,4.3,6.9,0.6,13.3
07/01/2010,20:00,53,4.0,10.8,0.7,10.1
07/01/2010,21:00,62,4.0,11.8,0.7,16.2
07/01/2010,22:00,92,3.6,30.1,1.0,17.3
07/01/2010,23:00,109,1.9,48.1,1.2,12.3
08/01/2010,00:00,167,2.3,39.9,0.9,9.1
08/01/2010,01:00,64,3.5,35.1,1.8,13.2
08/01/2010,02:00,31,2.6,34.2,1.0,10.2
08/01/2010,03:00,91,4.4,21.9,2.4,
08/01/2010,04:00,40,4.2,29.6,0.8,
08/01/2010,05:00,204,1.8,65.2,1.4,8.9
08/01/2010,06:00,196,1.5,30.8,0.8,6.6
08/01/2010,07:00,192,2.9,9.8,0.6,13.7
08/01/2010,08:00,180,2.9,20.1,0.9,14.5
08/01/2010,09:00,144,2.4,23.0,0.7,11.3
08/01/2010,10:00,137,3.6,14.7,0.9,15.1
08/01/2010,11:00,124,1.4,44.6,0.8,6.8
08/01/2010,12:00,96,2.7,25.1,0.9,12.9
08/01/2010,13:00,65,2.4,27.4,0.8,14.0
08/01/2010,14:00,51,3.0,12.6,0.7,9.2
08/01/2010,15:00,46,3.9,8.1,0.6,8.8
08/01/2010,16:00,42,3.8,9.5,0.5,11.8
08/01/2010,17:00,48,3.6,9.4,0.5,10.8
08/01/2010,18:00,61,3.6,16.5,0.8,10.5
08/01/2010,19:00,67,3.2,12.3,0.5,9.2
08/01/2010,20:00,130,5.1,19.5,2.3,16.8
08/01/2010,21:00,136,6.0,10.7,1.6,2.6
08/01/2010,22:00,150,3.7,14.5,1.4,3.2
08/01/2010,23:00,153,3.0,10.2,0.6,2.9
09/01/2010,00:00,135,5.6,11.4,2.0,1.2
09/01/2010,01:00,137,4.9,13.1,1.8,4.6
09/01/2010,02:00,140,4.8,12.5,1.3,4.4
09/01/2010,03:00,146,4.9,12.5,1.4,4.9
09/01/2010,04:00,147,3.8,16.2,1.1,5.4
09/01/2010,05:00,150,4.2,17.3,1.4,9.5
09/01/2010,06:00,139,5.1,15.1,1.6,7.1
09/01/2010,07:00,131,5.4,17.5,1.5,13.9
09/01/2010,08:00,135,5.4,14.2,1.5,8.6
09/01/2010,09:00,133,5.1,16.9,1.7,9.4
09/01/2010,10:00,118,4.8,21.9,1.7,10.8
09/01/2010,11:00,107,4.8,19.5,1.6,18.3
09/01/2010,12:00,105,4.9,26.8,2.2,11.5
09/01/2010,13:00,93,6.1,14.4,1.7,10.8
09/01/2010,14:00,103,6.1,19.2,2.0,7.0
09/01/2010,15:00,140,6.2,13.6,1.3,11.3
09/01/2010,16:00,136,6.0,9.4,1.3,15.2
09/01/2010,17:00,138,3.0,19.8,0.9,13.4
09/01/2010,18:00,130,4.1,30.5,2.5,15.9
09/01/2010,19:00,140,4.5,10.8,1.0,12.3
09/01/2010,20:00,146,3.6,9.5,0.8,11.1
09/01/2010,21:00,147,4.2,11.4,1.0,9.0
09/01/2010,22:00,150,4.2,9.2,0.9,10.8
09/01/2010,23:00,127,4.5,22.9,1.6,15.3
10/01/2010,00:00,140,2.8,25.7,1.3,8.8
10/01/2010,01:00,152,3.3,13.2,0.9,10.4
10/01/2010,02:00,156,1.9,20.8,0.7,15.9
10/01/2010,03:00,134,3.3,25.1,1.3,16.1
10/01/2010,04:00,152,2.6,23.0,1.4,14.8
10/01/2010,05:00,180,2.3,22.9,0.9,14.0
10/01/2010,06:00,161,2.2,20.8,0.9,17.9
10/01/2010,07:00,135,5.2,12.5,1.4,16.3
10/01/2010,08:00,134,5.7,14.5,1.5,18.1
10/01/2010,09:00,126,4.5,22.0,1.5,22.1
10/01/2010,10:00,110,3.4,25.3,1.5,14.6
10/01/2010,11:00,92,5.9,14.0,1.7,16.5
10/01/2010,12:00,93,7.4,11.6,1.5,17.1
10/01/2010,13:00,90,7.4,10.7,1.4,24.9
10/01/2010,14:00,91,7.2,12.7,1.8,26.8
10/01/2010,15:00,85,7.6,8.2,1.2,24.9
10/01/2010,16:00,86,7.2,9.2,1.3,20.2
10/01/2010,17:00,90,6.7,8.6,1.3,30.8
10/01/2010,18:00,93,6.9,10.4,1.3,30.4
10/01/2010,19:00,90,7.7,10.0,1.6,21.2
10/01/2010,20:00,92,7.1,11.0,1.8,37.0
10/01/2010,21:00,99,5.4,17.3,1.6,23.1
10/01/2010,22:00,146,3.4,23.2,1.5,27.3
10/01/2010,23:00,144,4.4,18.4,1.7,11.6
11/01/2010,00:00,134,4.3,11.2,1.1,13.6
11/01/2010,01:00,141,3.6,14.3,1.1,18.2
11/01/2010,02:00,162,1.9,22.4,0.9,18.8
11/01/2010,03:00,167,1.8,24.2,0.8,16.4
11/01/2010,04:00,189,2.1,17.1,0.7,19.3
11/01/2010,05:00,191,1.9,19.6,0.6,19.1
11/01/2010,06:00,172,1.7,22.6,0.9,22.6
11/01/2010,07:00,142,4.6,15.9,1.8,22.8
11/01/2010,08:00,132,5.6,15.4,1.6,22.2
11/01/2010,09:00,128,4.2,18.7,1.3,23.3
11/01/2010,10:00,107,3.6,27.1,1.0,25.4
11/01/2010,11:00,88,5.3,10.9,1.1,28.9
11/01/2010,12:00,88,6.3,9.3,1.2,20.2
11/01/2010,13:00,88,6.6,8.7,1.3,20.7
11/01/2010,14:00,89,7.8,7.6,1.4,15.9
11/01/2010,15:00,87,7.4,8.7,1.3,23.2
11/01/2010,16:00,91,6.3,9.1,1.2,19.8
11/01/2010,17:00,90,5.6,8.6,1.0,25.2
11/01/2010,18:00,81,6.1,9.4,1.2,25.7
11/01/2010,19:00,76,6.1,8.2,1.1,27.6
11/01/2010,20:00,86,5.8,9.0,1.2,19.9
11/01/2010,21:00,91,6.9,9.7,1.4,29.4
11/01/2010,22:00,95,6.3,14.3,1.8,27.0
11/01/2010,23:00,126,4.1,18.8,1.3,21.0
12/01/2010,00:00,144,3.9,12.3,1.1,21.9
12/01/2010,01:00,142,2.9,12.7,0.8,21.4
12/01/2010,02:00,149,2.6,17.0,0.7,18.6
12/01/2010,03:00,148,2.5,19.4,1.0,18.4
12/01/2010,04:00,125,3.6,21.2,1.1,18.7
12/01/2010,05:00,138,4.0,19.6,1.5,18.1
12/01/2010,06:00,153,2.8,10.9,0.9,13.3
12/01/2010,07:00,147,2.9,13.2,0.9,17.7
12/01/2010,08:00,120,3.3,23.6,1.5,17.7
12/01/2010,09:00,127,4.7,20.9,1.3,19.9
12/01/2010,10:00,109,3.7,25.6,1.4,13.8
12/01/2010,11:00,89,5.8,9.1,1.1,14.7
12/01/2010,12:00,79,6.2,9.8,1.2,22.0
12/01/2010,13:00,84,6.3,9.9,1.1,27.8
12/01/2010,14:00,84,6.9,9.2,1.3,18.3
12/01/2010,15:00,69,6.0,9.2,1.0,34.4
12/01/2010,16:00,74,6.1,8.7,1.1,24.8
12/01/2010,17:00,91,5.3,12.4,1.2,24.0
12/01/2010,18:00,96,5.1,12.5,1.2,15.7
12/01/2010,19:00,93,5.9,11.1,1.2,20.1
12/01/2010,20:00,92,5.7,10.5,1.0,27.9
12/01/2010,21:00,91,5.7,10.5,1.1,24.8
12/01/2010,22:00,92,4.8,16.0,1.2,25.4
12/01/2010,23:00,148,2.2,23.2,0.7,29.7
13/01/2010,00:00,132,2.6,21.9,1.0,27.0
13/01/2010,01:00,137,2.6,18.5,1.1,23.2
13/01/2010,02:00,151,1.7,27.2,0.6,27.4
13/01/2010,03:00,180,1.7,20.8,0.6,21.2
13/01/2010,04:00,181,1.5,20.9,0.5,22.9
13/01/2010,05:00,169,1.4,19.4,0.5,29.7
13/01/2010,06:00,166,1.8,16.9,0.5,30.4
13/01/2010,07:00,152,2.2,19.6,0.7,32.3
13/01/2010,08:00,124,3.1,23.7,1.2,26.7
13/01/2010,09:00,105,3.6,25.9,1.2,18.9
13/01/2010,10:00,92,4.4,16.5,1.5,21.7
13/01/2010,11:00,87,5.9,10.0,1.1,22.5
13/01/2010,12:00,72,5.4,11.3,0.9,25.1
13/01/2010,13:00,61,5.4,9.1,0.9,32.9
13/01/2010,14:00,65,5.7,8.8,0.8,25.3
13/01/2010,15:00,68,5.9,10.1,0.9,33.1
13/01/2010,16:00,70,5.5,8.3,0.9,39.8
13/01/2010,17:00,71,5.8,8.3,0.9,25.8
13/01/2010,18:00,62,5.2,9.0,0.8,26.0
13/01/2010,19:00,72,5.4,7.7,0.8,20.1
13/01/2010,20:00,72,4.7,7.9,0.7,24.8
13/01/2010,21:00,80,3.5,12.6,1.0,23.5
13/01/2010,22:00,82,3.5,10.2,0.7,19.6
13/01/2010,23:00,71,4.1,8.2,0.6,20.5
14/01/2010,00:00,73,3.4,9.1,0.6,21.7
14/01/2010,01:00,100,2.3,39.9,1.0,22.3
14/01/2010,02:00,153,2.1,10.9,0.4,21.8
14/01/2010,03:00,175,1.6,19.2,0.4,21.6
14/01/2010,04:00,187,1.6,12.3,0.4,19.0
14/01/2010,05:00,193,1.8,16.4,0.5,19.1
14/01/2010,06:00,189,2.0,14.5,0.5,26.1
14/01/2010,07:00,146,1.7,25.6,0.5,31.1
14/01/2010,08:00,130,2.1,21.9,0.7,23.0
14/01/2010,09:00,94,3.1,23.4,1.0,20.3
14/01/2010,10:00,69,3.5,13.1,0.6,15.2
14/01/2010,11:00,32,2.9,14.5,0.5,18.8
14/01/2010,12:00,33,4.4,10.3,1.0,19.4
14/01/2010,13:00,43,5.9,5.2,0.6,14.0
14/01/2010,14:00,42,6.0,4.8,0.5,14.7
14/01/2010,15:00,43,5.8,5.6,0.6,17.2
14/01/2010,16:00,43,6.0,4.8,0.7,21.9
14/01/2010,17:00,52,5.7,8.7,0.9,17.8
14/01/2010,18:00,52,4.9,8.4,0.7,9.2
14/01/2010,19:00,67,4.5,10.3,0.7,12.8
14/01/2010,20:00,72,4.6,8.5,0.6,14.3
14/01/2010,21:00,76,4.2,8.3,0.7,12.9
14/01/2010,22:00,74,4.3,8.3,0.8,15.0
14/01/2010,23:00,71,4.1,8.5,0.8,15.7
15/01/2010,00:00,73,3.5,11.1,0.7,13.9
15/01/2010,01:00,147,1.7,24.5,0.7,24.0
15/01/2010,02:00,153,2.1,11.9,0.5,18.7
15/01/2010,03:00,127,2.0,22.2,0.6,18.5
15/01/2010,04:00,171,1.8,29.1,0.5,17.1
15/01/2010,05:00,188,1.8,12.8,0.4,16.0
15/01/2010,06:00,175,1.4,23.4,0.7,24.8
15/01/2010,07:00,160,3.0,12.2,0.7,27.1
15/01/2010,08:00,143,3.0,21.8,0.9,23.2
15/01/2010,09:00,102,3.1,20.1,0.9,16.3
15/01/2010,10:00,95,3.0,20.6,0.9,6.3
15/01/2010,11:00,68,2.8,26.9,0.8,17.3
15/01/2010,12:00,12,3.2,9.3,0.4,17.9
15/01/2010,13:00,25,4.8,8.9,0.9,22.8
15/01/2010,14:00,37,5.5,8.7,1.0,17.7
15/01/2010,15:00,62,6.2,11.6,0.9,24.6
15/01/2010,16:00,71,5.5,9.2,0.8,12.7
15/01/2010,17:00,74,5.1,8.9,0.9,11.0
15/01/2010,18:00,76,6.2,7.7,1.0,23.0
15/01/2010,19:00,89,6.2,8.7,1.2,14.7
15/01/2010,20:00,91,6.2,10.4,1.5,14.8
15/01/2010,21:00,94,5.3,14.2,1.5,10.5
15/01/2010,22:00,97,4.8,14.1,1.4,5.5
15/01/2010,23:00,107,3.7,21.3,1.3,4.7
16/01/2010,00:00,129,3.4,20.9,1.0,5.7
16/01/2010,01:00,134,3.5,19.3,1.0,12.0
16/01/2010,02:00,137,3.8,14.0,1.0,16.0
16/01/2010,03:00,141,3.5,15.0,0.9,13.2
16/01/2010,04:00,142,3.3,13.5,0.9,13.4
16/01/2010,05:00,162,2.0,21.9,0.7,10.4
16/01/2010,06:00,173,1.7,22.3,0.7,17.6
16/01/2010,07:00,187,2.6,21.5,0.7,14.5
16/01/2010,08:00,167,2.8,23.9,1.0,16.8
16/01/2010,09:00,165,2.9,27.9,1.2,18.3
16/01/2010,10:00,109,3.3,23.6,1.0,14.1
16/01/2010,11:00,95,3.2,24.0,0.9,12.8
16/01/2010,12:00,80,3.2,20.3,0.7,17.4
16/01/2010,13:00,43,4.4,8.2,0.7,30.2
16/01/2010,14:00,54,5.1,8.8,1.0,25.3
16/01/2010,15:00,56,5.5,8.7,0.9,20.8
16/01/2010,16:00,59,5.3,9.7,0.8,24.9
16/01/2010,17:00,63,5.1,9.3,0.8,17.6
16/01/2010,18:00,82,4.8,12.5,0.9,19.1
16/01/2010,19:00,61,5.0,10.6,1.0,27.2
16/01/2010,20:00,68,5.5,7.2,0.8,22.3
16/01/2010,21:00,74,4.5,10.2,0.8,15.5
16/01/2010,22:00,85,3.8,11.7,0.8,19.2
16/01/2010,23:00,89,4.0,12.9,0.8,17.3
17/01/2010,00:00,66,4.7,8.7,1.0,26.5
17/01/2010,01:00,72,4.2,17.4,1.2,26.1
17/01/2010,02:00,121,2.8,24.3,1.0,17.4
17/01/2010,03:00,138,2.4,15.4,0.7,15.4
17/01/2010,04:00,137,2.4,15.6,0.7,16.0
17/01/2010,05:00,168,1.6,18.4,0.5,16.1
17/01/2010,06:00,169,1.4,23.7,0.5,15.6
17/01/2010,07:00,141,1.5,18.8,0.6,18.0
17/01/2010,08:00,65,0.7,69.9,0.6,26.5
17/01/2010,09:00,8,2.0,177.1,0.5,19.7
17/01/2010,10:00,14,2.6,8.7,0.4,22.3
17/01/2010,11:00,15,3.4,6.7,0.3,15.7
17/01/2010,12:00,26,5.0,5.0,0.5,28.7
17/01/2010,13:00,38,5.6,7.4,0.6,18.2
17/01/2010,14:00,37,6.1,7.2,0.8,
17/01/2010,15:00,33,6.5,6.6,0.6,16.2
17/01/2010,16:00,35,6.2,7.6,0.7,20.9
17/01/2010,17:00,28,6.0,7.4,0.5,18.1
17/01/2010,18:00,27,6.0,5.0,0.6,18.5
17/01/2010,19:00,24,5.8,6.1,0.6,17.5
17/01/2010,20:00,22,5.5,7.9,0.5,17.6
17/01/2010,21:00,18,5.2,6.3,0.5,15.8
17/01/2010,22:00,9,4.3,177.6,0.5,17.4
17/01/2010,23:00,354,3.2,11.6,0.8,16.0
18/01/2010,00:00,339,3.5,14.1,0.5,14.3
18/01/2010,01:00,12,3.8,8.4,0.6,15.2
18/01/2010,02:00,348,2.2,153.3,0.8,11.9
18/01/2010,03:00,303,1.3,31.9,0.5,15.4
18/01/2010,04:00,211,1.6,25.5,0.6,11.7
18/01/2010,05:00,222,1.2,33.6,0.5,15.0
18/01/2010,06:00,297,0.7,61.8,0.5,19.7
18/01/2010,07:00,330,0.5,34.5,0.2,20.5
18/01/2010,08:00,15,1.4,170.8,0.5,23.3
18/01/2010,09:00,22,2.4,9.2,0.5,22.1
18/01/2010,10:00,30,3.1,7.3,0.4,24.1
18/01/2010,11:00,25,4.5,5.1,0.5,21.1
18/01/2010,12:00,5,3.8,169.2,1.1,17.9
18/01/2010,13:00,314,4.8,6.3,1.1,16.5
18/01/2010,14:00,315,4.8,7.6,0.7,3.1
18/01/2010,15:00,320,4.9,6.5,0.8,18.4
18/01/2010,16:00,330,5.5,7.4,0.5,11.9
18/01/2010,17:00,340,4.8,10.1,0.6,9.8
18/01/2010,18:00,336,6.8,4.9,0.9,15.3
18/01/2010,19:00,340,6.5,6.3,0.7,18.1
18/01/2010,20:00,338,6.8,4.7,0.8,17.0
18/01/2010,21:00,333,6.7,5.7,0.7,14.6
18/01/2010,22:00,328,4.8,7.0,0.8,
18/01/2010,23:00,342,2.2,23.1,0.8,10.5
19/01/2010,00:00,23,1.6,33.0,0.6,11.4
19/01/2010,01:00,327,1.8,27.8,0.5,14.0
19/01/2010,02:00,233,0.8,64.4,0.4,
19/01/2010,03:00,160,1.3,14.5,0.4,18.4
19/01/2010,04:00,163,1.6,13.5,0.4,19.2
19/01/2010,05:00,163,1.4,13.4,0.4,31.4
19/01/2010,06:00,141,1.8,20.4,0.5,43.1
19/01/2010,07:00,93,2.5,18.2,0.6,15.7
19/01/2010,08:00,65,2.6,16.2,0.5,29.5
19/01/2010,09:00,39,3.6,9.2,0.6,31.4
19/01/2010,10:00,29,4.4,10.3,0.5,9.7
19/01/2010,11:00,25,4.6,4.9,0.5,15.4
19/01/2010,12:00,19,4.4,13.2,0.8,
19/01/2010,13:00,27,5.0,4.8,0.5,10.7
19/01/2010,14:00,27,5.5,4.1,0.5,11.4
19/01/2010,15:00,21,4.6,7.7,0.5,
19/01/2010,16:00,356,4.1,21.1,0.7,27.4
19/01/2010,17:00,330,3.9,17.7,1.2,3.4
19/01/2010,18:00,352,2.6,163.6,0.8,8.2
19/01/2010,19:00,354,3.5,24.2,1.0,3.3
19/01/2010,20:00,1,3.7,171.1,1.2,12.2
19/01/2010,21:00,9,4.1,175.2,0.6,
19/01/2010,22:00,27,3.9,7.2,0.5,9.2
19/01/2010,23:00,46,3.4,14.2,0.7,
20/01/2010,00:00,73,2.3,15.2,0.4,10.5
20/01/2010,01:00,134,1.8,33.9,0.5,16.1
20/01/2010,02:00,147,1.5,19.8,0.4,24.3
20/01/2010,03:00,74,1.7,23.3,0.5,17.7
20/01/2010,04:00,107,1.3,53.9,0.5,13.6
20/01/2010,05:00,165,2.1,20.4,0.6,15.0
20/01/2010,06:00,156,2.3,10.9,0.5,12.8
20/01/2010,07:00,139,2.7,15.7,0.8,37.9
20/01/2010,08:00,117,3.5,26.1,1.1,18.8
20/01/2010,09:00,85,4.1,10.5,0.8,12.5
20/01/2010,10:00,72,3.8,17.9,0.6,20.2
20/01/2010,11:00,65,4.0,14.3,0.7,18.2
20/01/2010,12:00,73,3.8,14.4,1.0,8.8
20/01/2010,13:00,48,5.6,11.7,0.9,38.2
20/01/2010,14:00,42,6.0,5.0,0.6,22.8
20/01/2010,15:00,50,6.1,7.2,0.7,18.4
20/01/2010,16:00,57,6.3,9.9,1.0,23.2
20/01/2010,17:00,63,7.0,8.5,0.9,20.8
20/01/2010,18:00,84,5.9,14.8,1.2,25.1
20/01/2010,19:00,90,5.2,11.6,1.3,25.5
20/01/2010,20:00,105,3.7,22.3,1.3,33.7
20/01/2010,21:00,127,3.1,22.1,1.0,27.4
20/01/2010,22:00,114,2.9,23.6,0.9,27.0
20/01/2010,23:00,112,3.1,23.0,1.0,27.0
21/01/2010,00:00,141,3.6,13.7,0.9,29.7
